Word,Brief Definition,Long Definition,Synonyms,Antonyms,Video Url,Video Title,Context Paragraph
Galvanize,To prompt that person into action.,"Luigi Galvani was the founder of voltaic electricity, which he used to induce muscular spasms, or twitchings, by using electricity on frogs.  Later the verb galvanize was more generally used for stimulating activity.","abet, augment, foment, whet","abate, abortive, abstinence, allay, alleviate, assuage, disinterested, eschew, impassive, lassitude, lethargic, listless, malaise, mitigate, nonchalant, oblivious, palliative, phlegmatic, quell, refrain, torpor",https://cdn0.membean.com/video/examplevids/galvanize.mp4,EgyptProtesters are galvanized by years of oppression into changing their government.," In an attempt to galvanize or motivate her teenage son, Gabby promised him more allowance if he would mow the lawn. Galvanized or excited by the idea of more money, Stan promptly put on his sneakers and got out the mower.  The thought of what he would do with his earnings galvanized or energized Stan the whole summer—he had never mown the lawn so many times!  Too bad that kind of galvanizing cannot occur to stimulate the national economy!"
Gambit,A strategic act to gain an advantage.,"From a root word meaning “trip-up.”  A gambit is often meant to “trip-up” an opponent in order to gain an advantage.
origin:  Italian


Knowing language of origin or etymology is not important; but is sometimes interesting enough to make the word memorable. Only such words have associated maps.
","abandon, artifice, assay, bedevil, beguile, chicanery, collude, connive, covert, delusive, facade, feign, feint, finesse, Machiavellian, machination, subterfuge, wile","abortive, bastion, circumvent, elude, eschew, ingenuous, overt, parry, refrain",https://cdn0.membean.com/video/examplevids/gambit.mp4,," Issuing a bid to take over a competitor’s business is a risky gambit or maneuver.  The company Large, Inc. hopes to take control of the market with this clever gambit or strategic plan.  The gambit or plot is full of risk because the directors have to leverage all of their assets to make the purchase.  If the gambit or play pays off, however, Large, Inc. will become the largest business in their market sector."
Gambol,"That person runs, jumps, and plays like a child or animal.","Via a root word meaning “leaping, skipping about.”","blithe, boisterous, buoyant, cavort, convivial, droll, ebullient, effusive, exult, felicity, fete, regale, revelry, whimsical","abstinence, arduous, austere, banal, catatonic, choleric, despondent, dirge, dour, ennui, irascible, lethargic, listless, lugubrious, melancholy, morose, pensive, propriety, saturnine, spartan, tedium, troglodyte, truculent",https://cdn0.membean.com/video/examplevids/gambol.mp4,," Willy’s mother rented a giant funhouse for his birthday party, so his guests and he gamboled or playfully leaped about inside it for hours.  The children especially enjoyed the “hall of mirrors” as they gamboled or played in front of their funny reflections.  As Willy ran around and gamboled with his friends, he laughed loudly and claimed it was his best birthday ever."
Gamut,A wide range of diverse things.,"This word comes from a medieval musical scale whose first note was gamma and whose last was ut.  Hence, gamma to ut made up the whole range of the scale, and later the two words were fused together to form gamut.","diorama, effusive, hierarchy, macrocosm, plenary, preponderance, profusion, prolix, protracted, verbose, voluble","abridge, curtail, denude, diminution, divest, echelon, efface, excise, gradation, microcosm, pare, synoptic, terse, truncate",https://cdn0.membean.com/video/examplevids/gamut.mp4,,"My taste in movies is highly diverse, running the gamut from horror films to light romantic comedies.  My favorite actors are those who can portray a wide range or gamut of roles easily and effortlessly.  Perhaps that is why I’m partial to Matt Damon, who has run the creative gamut from serious dramas, such as The Good Shepherd , to fun comedic films like Ocean’s 11 .  By stretching himself and running the gamut in an extensive variety of roles, Damon keeps his audience guessing and interested."
Garbled,"When it is corrupted, hurried, and hard to figure out.",From a root word meaning “sieve.”  The basic idea behind the word garbled is that one would need a “sieve” to “sift out” the meaning of the messed up words.,"adulterate, ambiguous, belie, bemused, byzantine, confound, conundrum, convoluted, gilded, gloss, labyrinthine, misconstrue, nebulous, nonplussed, obfuscate, opaque, spurious, stymie, turbid, vaporous","articulate, decipher, elucidate, exegesis, explicate, fathom, incisive, limpid, lucid, luminous, pellucid, perspicacity",https://cdn0.membean.com/video/examplevids/garbled.mp4,," Alan’s garbled message on the answering machine was almost impossible to understand.  His voice had been interrupted by static when his cell phone reception began to break, so his garbled , confused words were rushed and made no sense to Wendy.  Alan’s tone of urgency, however, was clear, so Wendy called him back immediately to hear the information that she could not get from Alan’s garbled , obscure, and mixed-up recording."
Gargantuan,A lot of strong people willing to lift such a huge object.,The word gargantuan comes from the huge giant “Gargantua” in the book Gargantua and Pantagruel by the French author Francois Rabelais.,"augment, copious, crescendo, formidable, leviathan, macrocosm, monolith, prodigious","abridge, attenuate, attrition, diminution, inconspicuous, microcosm, minuscule, tenuous, unassuming, unobtrusive, wane",https://cdn0.membean.com/video/examplevids/gargantuan.mp4,"Time BanditsA simply gargantuan giant, even as giants go!"," We had lunch at our favorite Texas diner where they serve the hugest portions and most gargantuan plates of food you’ve ever seen!  My husband and I usually share a single meal, and we often find that we still can’t finish it because it is so gargantuan and enormous.  The milkshakes are fantastic but also of sizable quantity—finishing one might lead to a gargantuan , very large stomachache."
Garish,"A ballroom decorated in cheap, ugly fabrics and loud, showy colors.",No ingredients are given for this word because its origin is either uncertain or unknown.,"bedeck, brazen, flagrant, flamboyant, florid, fulsome, meretricious, ostentatious, specious, tawdry, unprepossessing, unseemly, veneer","comely, dapper, debonair, demure, inconspicuous, innocuous, politic, propriety, pulchritude, unadorned, unobtrusive, unsullied, winsome",https://cdn0.membean.com/video/examplevids/garish.mp4,YouTube: Lib Thack: Liberace's Wild WardrobeThat is some garish getup!," When Barbara wore a bright orange, highly-feathered scarf to the business conference, some thought her wardrobe choice to be garish and tasteless.  The audience tried to focus on the speaker’s formal presentation, but the sight of colorful feathers falling from Barbara’s garish , flashy scarf distracted everyone.  Afterwards, when her colleagues spoke to her about her inappropriate dress, Barbara seemed unconcerned and proudly tipped her garish , showy purple hat to them all."
Garrulous,When she talks a lot in a chatty way.,Someone who is garrulous “repeatedly chatters” away with little sign of stopping.,"bombastic, effusive, expatiate, glib, grandiloquent, loquacious, prattle, prolix, verbose, voluble","abridge, brevity, brusque, demure, dour, laconic, pithy, reticent, succinct, synoptic, taciturn, terse, truncate",https://cdn0.membean.com/video/examplevids/garrulous.mp4,," The local beauty shop was a huge source of gossip: each and every one of my mother’s garrulous or talkative friends met there to discuss and hear all the news.  The owner of the shop, Mrs. Pearl Ives, was the most chatty or garrulous of them all. Garrulous Pearl loved to converse about and verbally examine every detail of her patrons’ lives, no matter how unimportant.  Her excessive babbling and garrulous conversation filled the salon along with the noise of hairdryers and laughter."
Gauche,When it is ill-mannered and socially unsuitable.,"From a root word which means “left-handed” or “awkward.”  “Left-handed” people were once thought to be clumsy.
origin:  French


Knowing language of origin or etymology is not important; but is sometimes interesting enough to make the word memorable. Only such words have associated maps.
","callow, fatuous, hapless, inane, tentative, troglodyte, tyro, uncouth, ungainly, unkempt, vacuous, yokel","adept, adroit, ambidextrous, apposite, condign, dapper, debonair, deft, politic, propriety, urbane",https://cdn0.membean.com/video/examplevids/gauche.mp4,," The elegance of the state dinner made me feel gauche or socially awkward.  I wasn’t used to eating with diplomats, so my casual movements and manners felt gauche or out of place at this sophisticated and graceful event.  There were so many utensils lined up for the seven-course meal that I didn’t know which one to use, and I gauchely used my dessert spoon for the soup!"
Gaunt,They’ve grown thin after a long illness.,No ingredients are given for this word because its origin is either uncertain or unknown.,"attenuate, dearth, emaciated, jejune, paucity, svelte, tenuous, wastrel, wizened","cherubic, corporeal, corpulent, distend, rotund, salubrious, somatic, tangible",https://cdn0.membean.com/video/examplevids/gaunt.mp4,The Morning ShowThis actor has gone from looking great to being gaunt.," After years of battling tuberculosis, my uncle was sickly, very thin, and gaunt .  His clothes hung from his gaunt , scarecrow-like frame, and he looked as if he hadn’t eaten in months.  He felt weak and tired on the inside, matching his starved, fleshless, and gaunt outward appearance.  His voice as well was but a whisper blowing from his gaunt or extremely lean body."
Generic,It applies to a group instead of a specific thing.,"Something generic refers to an entire “kind, type, or class” rather than any specific aspect of them.","amorphous, ecclesiastical, eclectic, ecumenical, homogeneous, macrocosm, nebulous, omnibus, pervasive, pragmatic, unalloyed, utilitarian","accentuate, aesthetic, connoisseur, epicurean, indigenous, multifarious, sybarite, variegated",https://cdn0.membean.com/video/examplevids/generic.mp4,YouTube: BuzzfeedCan these people tell the difference between a generic cereal and one with a specific brand name?," Matilda prefers to purchase nameless, generic juices instead of name-brand ones, even though those store brands have less colorful labels and do not have entertaining commercials to advertise them. Since Matilda takes pride in saving money, she frequently buys generic , non-labeled brands which offer similar ingredients for a lower cost. Some of her friends might argue that Matilda’s generic or general taste in food mirrors the rather common results of her cooking."
Genuflect,To show a great deal of respect with a physical gesture.,"When one genuflects, one “bends the knee” like a servant.","abase, abject, adulation, apotheosis, countenance, deference, deify, diffident, fawn, lionize, obeisance, obsequious, servile, subservient, supine, unctuous, vassal","autonomous, bilious, captious, cavalier, cavil, contumacious, denigrate, denounce, disparage, dissident, fractious, incorrigible, pillory, refractory, vitriolic, vituperative",https://cdn0.membean.com/video/examplevids/genuflect.mp4,AladdinThey are forced to genuflect.," It is a traditional sign of deep respect to genuflect or bend one’s knee before the altar in my church.  Some visitors who are not accustomed to this practice consider genuflecting an excessive and servant-like motion that to them holds no real purpose.  After church the host at a local restaurant socially genuflected to me by bowing too deeply and smiling too widely as I entered; this excessive flattery embarrassed me, and I left."
Germane,The amount of land available on which to plant the garden.,"If something is germane to a bigger thing, it “shoots” or “buds” from it, and hence is “suitable” or “relevant” to it.","apposite, apropos, commodious, condign, consanguinity, juxtaposition, pertinent, pragmatic, propinquity, utilitarian","abject, adventitious, divisive, encumber, ephemeral, evanescent, fatuous, inane, schism, temporal",https://cdn0.membean.com/video/examplevids/germane.mp4,"Smokey and the BanditEven though he is a sheriff, that fact is still not technically germane to the situation at hand."," It’s hard for me to win an argument with my father by making suitable or germane points because I feel threatened by him.  As soon as my emotions become involved I lose focus, at which point he will tell me that my points are not germane or relevant to the discussion.  It may be fitting or germane to mention that my father is an attorney.  He is able to easily figure out which of my points are truly germane or appropriate to our arguments, and which are clearly not."
Gestalt,A psychological term that expresses the idea that a whole is more than the sum of its individual parts.,"From a root word meaning “shape.”  The “shape” or gestalt that many parts take when considered as a unified entity is more than the individual parts considered separately.
origin:  German


Knowing language of origin or etymology is not important; but is sometimes interesting enough to make the word memorable. Only such words have associated maps.
","amalgamate, ambient, circumscribe, coalition, concatenate, delineate, entourage, inequitable, milieu, semblance, simulacrum, synoptic","amorphous, autonomous, divisive, factious, objective, schism",https://cdn0.membean.com/video/examplevids/gestalt.mp4,," In her brain research, Dr. Anna Feld followed the theory of gestalt :  the overall performance of the brain was more than the sum of its individual parts.  Although she had tried to explain the functioning of the brain according to each of its separate parts, she discovered that its total function was more than its individual aspects.  The brain, she realized, had to be considered in terms of a gestalt , or unified pattern.  The gestalt or functioning of the brain as a whole was a mystery, even though she understood how the separate, individual components worked."
Gestation,The person in charge of building it is thinking about how best to build it.,"Since the gestation period of a sheep is five months, the ewe “carries” the lamb for that long before it is born.","beget, engender, fecundity, luxuriant, metamorphosis, progeny, proliferate, prolific, vernal","abate, abolish, abrogate, annulment, efface, expunge, expurgate, extirpate, interminable, liquidate, recant, renege, rescind, stymie, vitiate",https://cdn0.membean.com/video/examplevids/gestation.mp4,"SherlockThe process of mental gestation is pretty hard, even for Sherlock."," Leopold allowed time for the gestation or early formation of the main character of his new novel while he washed dishes.  He found that the repetitive motion of cleaning inspired his brain with growing, gestating images and concepts.  A long walk home also allowed time for gestation or early development of the unformed story plot."
Gesticulate,They want to use hand movements to help communicate a point.,"When one gesticulates, one is using “little” motions or actions of the hands and arms, which is a way of “bearing or carrying” oneself as one speaks.","accentuate, articulate, belabor, bombastic, commune, effusive, evince, grandiloquent, importunate, interlocutor, mimetic, overt, patent, punctuate, remonstrate, salient, tacit","clandestine, covert, furtive, inconspicuous, pithy, reticent, surreptitious, terse, unadorned, unobtrusive",https://cdn0.membean.com/video/examplevids/gesticulate.mp4,Telegraph UKTony Blair gesticulating while talking.," Outside the glass booth, Herman could see the upset woman waving her free hand and gesticulating during her telephone conversation.  She banged her palm against the wall of the booth and pointed aggressively into the air, gesticulating and emphasizing her displeasure with hand and arm motions.  After hanging up, the woman tossed her hands over her head and gesticulated her feelings of frustration and helplessness without any words being said."
Gilded,Disappointed that underneath its beautiful gold coating is something quite worthless.,"From a root word meaning “to overlay with gold.”  When an object or claim is gilded, it is either “overlaid with gold” or symbolically overlaid so, which makes it look or seem better than it truly is.  The word gild itself is related to “gold.”
origin:  Old English


Knowing language of origin or etymology is not important; but is sometimes interesting enough to make the word memorable. Only such words have associated maps.
","accentuate, adulterate, bedeck, belie, embellish, euphemism, garish, gloss, imbue, meretricious, opulent, ornate, ostensible, ostentatious, patina, preen, refurbish, specious, surreptitious, veneer","candor, impecunious, objective, penury, probity, prosaic, unadorned, unassuming",https://cdn0.membean.com/video/examplevids/gilded.mp4,YouTube: Sea LemonWhat a gilded book looks like.,"When I bought the manuscript for three million dollars, I was led to believe that the book, having been gilded or covered over with a fine layer of gold, was indeed from the Middle Ages.  However, after having it for a mere three years, I began to notice that the gilding or covering of gold was wearing off.  I soon discovered that someone had gilded or decorated the book on purpose to make it look older than it really was.  That deceptively gilded book was actually a common copy of War and Peace from 1935, not a medieval Book of Hours from 1343."
Glib,They would speak about difficult matters in a manner that makes them sound unimportant.,"From a root word meaning “slippery.”  Glib replies are “slippery” because they hide painful truths by making light of a serious situation.
origin:  German


Knowing language of origin or etymology is not important; but is sometimes interesting enough to make the word memorable. Only such words have associated maps.
","articulate, disingenuous, effusive, elocution, expatiate, facile, garrulous, loquacious, nonchalant, prattle, prolix, rhetoric, specious, unctuous, verbose, voluble","candor, ingenuous, laconic, overt, probity, reticent, succinct, synoptic, terse, truncate, veracity, verity",https://cdn0.membean.com/video/examplevids/glib.mp4,WeedsHer reply is rather glib.," The fast-talking, glib lawyer assured his client that the painful case would never go to court, but would be settled simply in the meeting room.  His quick, glib , smooth-tongued promises soothed the client’s anxious nerves, but ultimately proved to be false.  Both parties in the case were in court the next week.  There were no simple, glib , or easy solutions to the difficult divorce proceedings."
Gloss,If it needs additional explanation.,"When one glosses a word, one explains what its “language” means.","articulate, decipher, divulge, elucidate, exegesis, explicate, incisive, perspicacity, sagacious, savant, transcribe","conundrum, garbled, latent, misconstrue, obfuscate, opaque, recondite",https://cdn0.membean.com/video/examplevids/gloss.mp4,," On the editorial staff, Elisa was the most effective at clarifying or glossing complicated and confusing phrases from articles.  Her footnotes, glosses , and summaries of words proved insightful for readers of the periodical.  Elisa soon grew tired of explaining or glossing words written by others—she wanted to create her own piece in the next literary issue."
Glutinous,When it is thick and sticky like glue.,Something glutinous “possesses the nature of a substance that sticks” or is like “paste.”,"adherent, obdurate, stasis, steadfast, tenacious, unflagging, unremitting, viscid","attenuate, liquidate, malleable, plastic, pliant, tenuous",https://cdn0.membean.com/video/examplevids/glutinous.mp4,," Only later did Jerry discover that he had left his bowl of thick, sticky, glutinous jello outside in the sun all day.  The red, syrupy substance grew more and more glutinous or gluey as the heat increased, and by evening it was a thick and pulpy mass of inedible sugar.  To his disgust, Jerry had to scrape and clean the glutinous , glue-like jello from the bowl before going to sleep."
Gossamer,"Something that is thin, almost transparent, and airy.","Perhaps from root words meaning “goose” and “summer.”  During the season of “summer,” fine, filmy cobweb-like strands, or gossamer, are often found in the grass in the early morning dew which resemble fine “goose” down.","amorphous, attenuate, diaphanous, ethereal, limpid, lucid, pellucid, permeate, rarefy, svelte, tenuous, vaporous","corporeal, corpulent, monolith, nebulous, opaque, somatic, stasis, steadfast, turbid",https://cdn0.membean.com/video/examplevids/gossamer.mp4,," As I was hiking through the forest, I kept on seeing thin, gossamer threads of spiderwebs above me—and to the right and left. These gossamer threads seemed so insubstantial, so not solid, that it was hard for me to believe they could support the weight of even something so light as a spider. Even the air wafting through these gossamer , flimsy strands seemed of the same slight consistency as these spiderwebs. Imagine my delight when some light hit the dew hanging on the gossamer threads, creating a beautiful luminous spectacle; I watched them, spellbound—until I saw thousands of spiders emerge!"
Gradation,A series of small steps that are cut into the side of a hill.,"Gradation is the “state of stepping,” that is, a “state” of moving successively from one point to another in an orderly progression of “steps” or degrees.","apportion, caliber, echelon, gamut, hierarchy, macrocosm, microcosm, nuance, taxonomy, triage",immutable,https://cdn0.membean.com/video/examplevids/gradation.mp4,YouTube: Explore AcrylicsGradations of color.," In September Adam was on the lookout for slow changes or gradations in the leaves on the maple trees.  Autumn did not come all at once, but arrived subtly with barely traceable alterations or gradations in climate and appearance each day.  Adam noticed at first that the mornings grew cooler, then the air drier, until the leaves slowly brightened in a gradation or progressive series of gradual movements of shifting color."
Grandiloquent,When it is too showy and exaggerated.,"One who is prone to being grandiloquent is often “in a state or condition of speaking in a great, lofty, or powerful” way.","bombastic, circumlocution, convoluted, exorbitant, flamboyant, florid, fulsome, hyperbole, inordinate, meretricious, ostentatious, ponderous, turgid, verbose","demure, dour, pithy, reticent, succinct, terse, unadorned, verbatim",https://cdn0.membean.com/video/examplevids/grandiloquent.mp4,," Elizabeth found Edward’s invitation to the movies to be too flowery and grandiloquent .  There really was no need for him to grandiloquently recite the request in rhyme, or for him to wear a top hat and speak in such a fancy way with such big words!  Furthermore, his grandiloquent or overly formal expression embarrassed her since he read his poem in front of her soccer team at practice.  It was only a date to the movies, after all, not a grandiloquent , impressive marriage proposal!"
Gratuitous,"It is needless, unwanted, and therefore frustrating.","When someone’s words are gratuitous they are meant to be “pleasing or welcome,” but they can be unnecessarily so.","abandon, adventitious, arbitrary, chaff, detritus, dross, flippant, inordinate, superfluous, wanton","apposite, apropos, canonical, cardinal, condign, decorous, germane, pertinent, pithy, requisite, synoptic, taciturn, terse, truncate",https://cdn0.membean.com/video/examplevids/gratuitous.mp4,CosmosCarl Sagan sadly describes the gratuitous hunting of whales.," My aunt claimed that the movie was full of extra, useless, gratuitous violence which didn’t move the plot forward.  Lately, she argues, movies seem to more frequently embrace scenes of gratuitous or groundless swearing.  My aunt believes that film producers know that this unjustified or gratuitous material will sell tickets by shocking audiences.  These elements are not gratuitous or unnecessary if they actually help to tell the story, she continues, but that is seldom the case."
Gravity,When it is urgent and significant.,Gravity is a “state of seriousness” or the “quality of being burdened.”,"arduous, encumber, enormity, exacting, exigent, formidable, laborious, nettle, onerous, plaintive, ponderous, tedium, vexing","alleviate, badinage, banter, buoyant, convalescent, facile, fatuous, inane, levity, mitigate, mollify, resilience, vaporous, volatile",https://cdn0.membean.com/video/examplevids/gravity.mp4,Sherlock HolmesUnderestimating the gravity of things to come.," Greg completely missed the gravity or seriousness of the situation when he accidentally interrupted the private conversation between his parents.  He was just going into the kitchen for a snack and so had no way of guessing the gravity or emotional weight of their talk about separating from each other.  While searching for food and whistling, Greg suddenly stopped and realized that his parents’ interaction was full of considerable personal importance or gravity ."
Gregarious,When that person likes to be with other people.,A gregarious person is highly social because he “has the nature” of “flocking” with others.,"affable, amity, clique, complaisant, congenial, convivial, effusive, garrulous, loquacious, voluble","bilious, brusque, cloister, dissident, dour, enclave, impassive, irascible, laconic, morose, recluse, reticent, saturnine, taciturn, troglodyte",https://cdn0.membean.com/video/examplevids/gregarious.mp4,Finding Vivian MaierStreet photographers need to be gregarious to find the best shots.," The gregarious , outgoing musician loved to talk to his audience after a performance.  He shook hands, laughed, met old friends, and generally behaved in a friendly, welcoming, and gregarious way.  His social or gregarious nature was well-known and drew more people to hear the music.  Music lovers admired the skill of his performance on stage, but they also enjoyed his kind, sociable, and gregarious welcome face to face."
Grouse,To gripe or grumble about something.,No ingredients are given for this word because its origin is either uncertain or unknown.,"bilious, bristling, cantankerous, captious, cavil, fractious, irascible, petulant, plaintive, querulous, remonstrate, restive","accede, acquiesce, affable, blithe, cede, complaisant, congenial, convivial, countenance, impassive, nonchalant, oblivious, pliant",https://cdn0.membean.com/video/examplevids/grouse.mp4,," When my car was towed last night, I groused or complained to my girlfriend.  I could barely sleep because I was so angry, and called her again after midnight to grouse or tell her all the negative things I thought about the tow truck driver.  After listening to me for three minutes, she snapped that I had disturbed her sleep for no reason, and then she proceeded to grouse or grumble at me for being so grumpy."
Gullible,That person trusts others and so is easily misled.,Someone who is gullible is “capable of swallowing” anything you tell her.,"callow, credulous, dilettante, ingenuous, myopic, neophyte, nonplussed, obtuse, tyro","acuity, acumen, astute, discern, empirical, erudite, incisive, objective, perspicacity, profundity, sagacious",https://cdn0.membean.com/video/examplevids/gullible.mp4,Snow WhiteSnow White is really gullible.," As a newcomer to the group, Jessie was completely gullible and so believed anything the others told her.  When the actors shared stories about famous people they knew or where they had performed, Jessie trusted their exaggerated accounts with innocence and gullibility .  She believed the best of others, even when it was clear that they were lying.  She was a gullible or unsuspecting soul, perhaps too much so for a career on the stage."
Gumption,"A sense of courage, initiative, and resourcefulness.",Gumption originally referred to an alcoholic drink in North America that gave people “spirit” and “courage.”,"audacious, brazen, imperturbable, intrepid, mettle, pertinacious, pluck, tenacious, unfazed","abash, craven, daunt, demure, diffident, discomfit, disconcert, disquiet, irresolute, timorous, tremulous",https://cdn0.membean.com/video/examplevids/gumption.mp4,," Kate was full of drive and gumption and so took the bold risk of opening her own business.  She designed her craft store with creativity, but it was her gumption and courage that made the business succeed.  Kate’s Crafts became a famous source of art supplies, and the owner’s enterprise and gumption ensured that profits stayed high.  It was a scary risk to take, but Kate’s good sense, gumption , and guts earned her many rewards."
Guttural,"When it is harsh, rough, and throaty.",A guttural sound is made deep in the “throat.”,"cacophony, dissonance, raucous, strident","dulcet, euphony, felicity, mellifluous, sonorous",https://cdn0.membean.com/video/examplevids/guttural.mp4,," Stan interrupted the bitter conversation with a deep, guttural coughing sound.  He couldn’t stand to listen any further to such nonsense, so he cleared his throat with a loud, guttural “Ahem!” and stood to leave.  Surprised by the depth and volume of Stan’s guttural , throaty intervention, the two others at the table apologized for their argument and invited him to please stay."
Hackneyed,When it has been spoken too often and is no longer interesting.,From the once village of Hackney in England that raised horses to be sold in the city of London for the purpose of rental or hire; these horses often became tired and worn out from overuse.,"banal, effete, ennui, insipid, jejune, mediocre, mundane, otiose, pallid, pedestrian, platitude, prosaic, quotidian, tedium, trifle, trite, vacuous, vapid, vitiate","chimerical, curio, ebullient, effervescent, enthrall, epochal, erudite, exuberance, pivotal, profundity, quixotic, sagacious, scintillating, transcendent, vibrant, whimsical",https://cdn0.membean.com/video/examplevids/hackneyed.mp4,," Going home meant that I would have to listen to my Uncle Harvey’s hackneyed , overused jokes that he told to the family every year.  Harvey’s hackneyed humor made us all groan because we knew all the punch lines all too well.  Even though I found my uncle’s jokes to be hackneyed , humorless, and tired, the holiday might not have been the same without their familiar sound."
Halcyon,It is an untroubled time.,"From a root word meaning “kingfisher, mythical bird.”  The kingfisher was once believed to have been a magical bird that could cause 14 days of beautiful and calm weather around the winter solstice, a truly halcyon period of time.","bucolic, concordant, euphony, idyll, quiescence","acrid, acrimonious, bellicose, belligerent, bilious, boisterous, bristling, cacophony, dirge, discordant, dissonance, divisive, fracas, pillory, raucous, stentorian, strident, tumultuous, vehement, virulent, vitriolic, vituperative",https://cdn0.membean.com/video/examplevids/halcyon.mp4,," The early days of our marriage were a golden, halcyon , peaceful time.  In my mind, those prosperous and halcyon days were full of sunshine and carefree fun.  Later, when the war came, we would remark that we’d never appreciated the calm and halcyon days when we were at peace.  Even after the war had ended, life never had the same halcyon , trouble-free quality of those early years."
Hallowed,They feel that place has some special significance in the history of their college.,"The word hallowed comes from a root word meaning “holy.”
origin:  Old English


Knowing language of origin or etymology is not important; but is sometimes interesting enough to make the word memorable. Only such words have associated maps.
","apotheosis, beatific, benefaction, benign, canonize, cherubic, deify, immutable, lionize, luminary, luminous, numinous, sacrosanct, venerable","abhor, abject, abominate, depravity, despicable, diabolical, egregious, enormity, flagrant, heinous, malevolent, nefarious, profligate, reprobate, sinister, turpitude",https://cdn0.membean.com/video/examplevids/hallowed.mp4,Galaxy QuestThe members of the crew are hallowed by this people.," At the university, the former living quarters of the famous writer were set aside and hallowed as a museum exhibit.  Visitors came to the site to see the hallowed , highly respected space where so many great literary works had been created.  The bronze plaque by the door described the years of the hallowed , admired author’s life and told about his many important achievements."
Hapless,When that person has many bad things happen to him or her.,"One who is hapless is “lacking in (good) fortune.”
origin:  Old Norse


Knowing language of origin or etymology is not important; but is sometimes interesting enough to make the word memorable. Only such words have associated maps.
","aberrant, abeyance, abject, abortive, deleterious, discordant, incongruous, nettle, noisome, unseemly, untoward, vexing","apposite, auspicious, benign, condign, felicity, halcyon, propitious, providential",https://cdn0.membean.com/video/examplevids/hapless.mp4,," The hapless , unlucky siblings were separated when their ship sank at sea.  While both survived the trauma, a civil war, outrageous storms, and other unpredictable, ill-fated, and unfortunate events kept these hapless victims apart for the rest of their lives.  Through those difficult, luckless years, the hapless sister never gave up hope that her brother had survived.  He almost found her several times, but had the ill fortune and sorrow to haplessly miss her completely."
Harangue,"An angry, verbal scolding.","From a root word meaning “place for public assemblies.”  A harangue is often delivered in public in order to bring out the greatest effect of the scolding.
origin:  Italian


Knowing language of origin or etymology is not important; but is sometimes interesting enough to make the word memorable. Only such words have associated maps.
","captious, carp, cavil, decry, denigrate, diatribe, disparage, excoriate, inveigh, peroration, pillory, pontificate, rant, tirade, vituperative","adulation, encomium, eulogy, laudatory, paean, panegyric, plaudit",https://cdn0.membean.com/video/examplevids/harangue.mp4,," When Mariah was caught stealing from the boutique, her mother yelled at her in a scolding harangue that made everyone look away in embarrassment.  Mariah’s mother expressed her sharp anger, displeasure, and shame as she harangued her daughter for such disappointing behavior.  In response to the verbal attack or harangue from her mother, Mariah handed the stolen sweater back to the assistant and burst into tears."
Harbinger,To warn of something unpleasant in the future.,"From a root word meaning “lodging.”  A harbinger used to be a person who provided “harbor,” or “lodging,” and later became someone who went to look for “lodging,” hence changing into a “forerunner.”","adumbrate, antecedent, augury, portent, precursor, presage, prognosticate, prophetic","cataclysm, debacle, deluge, ensue",https://cdn0.membean.com/video/examplevids/harbinger.mp4,Murder She WroteComets were once thought of as harbingers.," Gretta saw the raven perched on the dark tree outside, and she knew that it was a sign or harbinger of death.  Inside the house her father lay ill; in Gretta’s view, the black winged harbinger or unlucky messenger confirmed that he would die.  When the old man gasped his last, painful breath, Gretta saw the harbinger or herald of death disappear as the raven swooped soundlessly into the bare, winter woods."
Hauteur,"A spirit or manner of rudeness, pride, and high-handedness.","When one exhibits hauteur, one possesses the “state or quality” of being “high,” that is, feeling that others are socially lower than you are.","audacious, brazen, bumptious, cavalier, complacent, condescend, hubris, impertinent, officious, overweening, patronize, presumptuous, sardonic, supercilious","affable, amity, bonhomie, chivalrous, complaisant, congenial, debonair, demure, diffident, inconspicuous, politic, unassuming, unobtrusive",https://cdn0.membean.com/video/examplevids/hauteur.mp4,," Celia was a snob who behaved with cold, proud hauteur toward anyone whom she considered beneath her.  When an unknown man held the door for her, she rolled her eyes and swept through the open door in a swift gesture of excessive pride or hauteur .  When Celia arrived at the fancy restaurant for her blind date, the man she had turned up her nose at sat across the table.  Remembering Celia’s hauteur , or rude and self-important behavior, the gentleman rose to his feet and quietly left the room."
Hedonism,The belief that pleasure and happiness are a worthy pursuit.,Hedonism is a “set of beliefs” set around bodily “pleasures.”,"blithe, buoyant, desiderata, droll, epicurean, exorbitant, exult, fete, insatiable, luxuriant, prodigal, regale, revelry, unbridled, voracious","abstemious, abstinence, austere, commiserate, dirge, dolorous, dour, frugal, lugubrious, melancholy, morose, plaintive, plangent, saturnine, spartan, teetotaler, woebegone",https://cdn0.membean.com/video/examplevids/hedonism.mp4,Rick StevesVondel Park in Amsterdam features some easy-going hedonism.," Some believe that ancient Roman society focused too much on hedonism or the pursuit of the pleasure of the senses, especially among the wealthy.  Roman cenae , or dinners, lasted for hours, and included numerous aspects of sensual enjoyment or hedonism , including fabulous wine, beautiful women, and rich, expensive food.  This form of hedonism , or seeking of pleasure in the senses, was thought to lead to happiness, and certainly, at least in the moment, it probably did."
